order_id,order_date,order_timestamp,customer_id,channel,store_id,order_status,payment_method,promo_code,item_count,total_units,gross_subtotal,discount_amount,net_subtotal,shipping_fee,tax_amount,total_amount,currency,ship_city,ship_state,ship_postal_code,delivery_date
ORD-000001,2024-08-01,2024-08-01 08:15:43,C00764,Online,ST-999,Completed,Gift Card,,4,4,339.96,23.2,316.76,0.0,26.13,342.89,USD,New York,NY,10007,2024-08-03
ORD-000002,2024-08-01,2024-08-01 16:01:27,C01657,Online,ST-999,Completed,Credit Card,,1,3,59.97,0.0,59.97,4.99,4.95,69.91,USD,New York,NY,10007,2024-08-05
ORD-000003,2024-08-01,2024-08-01 12:15:29,C01461,Online,ST-999,Completed,Credit Card,,1,2,313.98,15.7,298.28,0.0,24.61,322.89,USD,Los Angeles,CA,90012,2024-08-03
ORD-000004,2024-08-01,2024-08-01 21:26:17,C01795,Online,ST-999,Completed,PayPal,,1,1,125.99,3.78,122.21,0.0,10.08,132.29,USD,Portland,OR,97205,2024-08-02
ORD-000005,2024-08-01,2024-08-01 12:19:51,C02163,Online,ST-999,Completed,PayPal,,3,6,230.94,0.0,230.94,0.0,19.05,249.99,USD,Dallas,TX,75201,2024-08-02
ORD-000006,2024-08-01,2024-08-01 08:54:11,C00732,Online,ST-999,Completed,Credit Card,,1,3,335.97,0.0,335.97,0.0,27.72,363.69,USD,Atlanta,GA,30303,2024-08-02
ORD-000007,2024-08-01,2024-08-01 12:13:20,C02685,In-Store,ST-010,Completed,Cash,,2,2,107.98,0.0,107.98,0.0,8.91,116.89,USD,N/A,N/A,N/A,2024-08-01
ORD-000008,2024-08-01,2024-08-01 21:34:34,C00764,In-Store,ST-010,Completed,Debit Card,,2,3,250.97,12.55,238.42,0.0,19.67,258.09,USD,N/A,N/A,N/A,2024-08-01
ORD-000009,2024-08-01,2024-08-01 12:44:25,C01989,In-Store,ST-008,Completed,Gift Card,,1,1,593.99,29.7,564.29,0.0,46.55,610.84,USD,N/A,N/A,N/A,2024-08-01
ORD-000010,2024-08-01,2024-08-01 18:14:15,C01790,Online,ST-999,Completed,Credit Card,,1,1,89.99,25.2,64.79,4.99,5.35,75.13,USD,Columbus,OH,43215,2024-08-05
ORD-000011,2024-08-01,2024-08-01 11:08:34,C02012,In-Store,ST-011,Completed,Debit Card,,2,2,134.98,4.05,130.93,0.0,10.8,141.73,USD,N/A,N/A,N/A,2024-08-01
ORD-000012,2024-08-01,2024-08-01 20:07:10,C01650,In-Store,ST-003,Completed,Debit Card,,2,5,97.03,0.0,97.03,0.0,8.0,105.03,USD,N/A,N/A,N/A,2024-08-01
ORD-000013,2024-08-01,2024-08-01 17:12:09,C02046,Online,ST-999,Completed,Credit Card,,3,4,818.96,97.47,721.49,0.0,59.52,781.01,USD,Atlanta,GA,30303,2024-08-04
ORD-000014,2024-08-01,2024-08-01 15:29:57,C01056,Online,ST-999,Completed,PayPal,,6,12,627.88,60.43,567.45,0.0,46.81,614.26,USD,Minneapolis,MN,55401,2024-08-03
ORD-000015,2024-08-01,2024-08-01 21:34:06,C02736,Online,ST-999,Completed,PayPal,,1,1,201.99,6.06,195.93,0.0,16.16,212.09,USD,Boston,MA,02108,2024-08-03
