product_id,sku,product_name,category,subcategory,brand,color,size,unit_cost,list_price,supplier_country,launch_date,discontinued_date,is_active
P0001,HOM-BE-0001,Verdant Trail Vase,Home & Kitchen,Bedding,Verdant,Black,One Size,11.66,20.99,China,2022-05-25,,True
P0002,GRO-HO-0002,Fjord Core Pasta,Grocery,Household,Fjord,N/A,One Size,2.59,3.67,China,2025-07-14,,True
P0003,GRO-BE-0003,Kestrel Core Olive Oil,Grocery,Beverages,Kestrel,N/A,One Size,6.74,8.99,China,2023-06-12,,True
P0004,ELE-AU-0004,Verdant Studio Hub,Electronics,Audio,Verdant,N/A,One Size,37.77,54.99,USA,2023-07-07,,True
P0005,APP-KI-0005,Vertex Deluxe Tee,Apparel,Kids,Vertex,Burgundy,L,44.57,101.99,Turkey,2023-06-04,,True
P0006,APP-BO-0006,Halcyon Heritage Jacket,Apparel,Bottoms,Halcyon,Sand,XL,23.51,55.99,India,2023-03-03,,True
P0007,ELE-SM-0007,Lumina Essential Mouse,Electronics,Smart Home,Lumina,N/A,One Size,405.36,517.99,Vietnam,2022-07-24,,True
P0008,HOM-BE-0008,Ridgeline Signature Storage Set,Home & Kitchen,Bedding,Ridgeline,Burgundy,One Size,19.95,38.99,Mexico,2024-12-05,,True
P0009,ELE-CO-0009,Nimbus Premium Mouse,Electronics,Computing,Nimbus,N/A,One Size,72.86,95.99,Turkey,2022-11-14,,True
P0010,APP-WO-0010,Kestrel Signature Chinos,Apparel,Women's Tops,Kestrel,Charcoal,XL,40.38,79.99,USA,2022-05-07,,True
P0011,APP-BO-0011,Fjord Core Hoodie,Apparel,Bottoms,Fjord,Olive,XXL,10.45,20.99,Vietnam,2023-06-18,,True
P0012,ELE-WE-0012,Kestrel Studio Headphones,Electronics,Wearables,Kestrel,N/A,One Size,179.84,222.99,Portugal,2023-02-23,2024-01-14,False
P0013,APP-OU-0013,Aurora Premium Shirt,Apparel,Outerwear,Aurora,Sand,S,7.85,19.99,Vietnam,2022-02-23,,True
P0014,ELE-CO-0014,Ridgeline Classic Earbuds,Electronics,Computing,Ridgeline,N/A,One Size,83.78,112.99,Bangladesh,2023-07-01,,True
